number,title,url,difficulty,acceptance,likes,popularity
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Medium,51.67961469335227,6989,30.924778761061948
309,Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,Medium,49.27903818027957,4092,30.76691729323308
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver,Hard,50.465626078674816,3598,30.752136752136757
450,Delete Node in a BST,https://leetcode.com/problems/delete-node-in-a-bst,Medium,46.417861274039446,3530,30.43103448275862
1079,Letter Tile Possibilities,https://leetcode.com/problems/letter-tile-possibilities,Medium,76.15523515088508,1273,30.30952380952381
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Medium,38.48877520466284,6910,30.30701754385965
136,Single Number,https://leetcode.com/problems/single-number,Easy,67.39279429766398,7031,30.30603448275862
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Medium,51.53373503346739,4110,30.22058823529412
1,Two Sum,https://leetcode.com/problems/two-sum,Easy,47.50378146339928,23887,30.046540880503144
560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k,Medium,43.65992321559511,8718,29.95876288659794
209,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum,Medium,40.93099621616818,4504,29.63157894736842
752,Open the Lock,https://leetcode.com/problems/open-the-lock,Medium,54.799028306600285,2191,29.60810810810811
77,Combinations,https://leetcode.com/problems/combinations,Medium,59.880169577568566,2736,29.41935483870968
1202,Smallest String With Swaps,https://leetcode.com/problems/smallest-string-with-swaps,Medium,50.04183941272679,1025,29.285714285714285
503,Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii,Medium,59.99894901996111,3128,29.233644859813083
881,Boats to Save People,https://leetcode.com/problems/boats-to-save-people,Medium,49.364290337945945,1486,29.137254901960784
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses,Hard,30.439823986674902,5964,28.673076923076923
729,My Calendar I,https://leetcode.com/problems/my-calendar-i,Medium,54.35775875362945,1548,28.666666666666668
719,Find K-th Smallest Pair Distance,https://leetcode.com/problems/find-k-th-smallest-pair-distance,Hard,33.28785150297825,1570,28.545454545454547
212,Word Search II,https://leetcode.com/problems/word-search-ii,Hard,37.96352535185956,4306,28.1437908496732
144,Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal,Easy,59.41896482354053,2722,28.061855670103093
452,Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,Medium,50.45740342701031,2074,28.027027027027028
845,Longest Mountain in Array,https://leetcode.com/problems/longest-mountain-in-array,Medium,39.103176686794434,1373,28.020408163265305
1642,Furthest Building You Can Reach,https://leetcode.com/problems/furthest-building-you-can-reach,Medium,43.55478951216965,1176,28.0
1448,Count Good Nodes in Binary Tree,https://leetcode.com/problems/count-good-nodes-in-binary-tree,Medium,72.90083548165045,1512,28.0
1305,All Elements in Two Binary Search Trees,https://leetcode.com/problems/all-elements-in-two-binary-search-trees,Medium,78.2486031974332,1165,27.73809523809524
1315,Sum of Nodes with Even-Valued Grandparent,https://leetcode.com/problems/sum-of-nodes-with-even-valued-grandparent,Medium,84.65999787166116,1261,27.41304347826087
90,Subsets II,https://leetcode.com/problems/subsets-ii,Medium,50.84573713925633,3370,27.39837398373984
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum,Hard,45.41895468366615,7027,27.13127413127413
454,4Sum II,https://leetcode.com/problems/4sum-ii,Medium,55.24830613927536,2332,27.11627906976744
873,Length of Longest Fibonacci Subsequence,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence,Medium,48.43030701602575,1162,27.023255813953487
713,Subarray Product Less Than K,https://leetcode.com/problems/subarray-product-less-than-k,Medium,41.26088613694059,2729,27.019801980198014
712,Minimum ASCII Delete Sum for Two Strings,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings,Medium,60.30298094152143,1565,26.98275862068965
1302,Deepest Leaves Sum,https://leetcode.com/problems/deepest-leaves-sum,Medium,85.46010275086168,1776,26.90909090909091
1049,Last Stone Weight II,https://leetcode.com/problems/last-stone-weight-ii,Medium,48.47304076761969,1582,26.8135593220339
96,Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees,Medium,55.7215304349817,5317,26.71859296482412
1382,Balance a Binary Search Tree,https://leetcode.com/problems/balance-a-binary-search-tree,Medium,77.81940857727157,1058,26.45
1367,Linked List in Binary Tree,https://leetcode.com/problems/linked-list-in-binary-tree,Medium,42.15760756958353,1001,26.34210526315789
1383,Maximum Performance of a Team,https://leetcode.com/problems/maximum-performance-of-a-team,Hard,41.255921292360014,1001,26.34210526315789
82,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,Medium,40.554328151014616,3423,26.33076923076923
235,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,Easy,54.1689922844211,3892,26.2972972972973
49,Group Anagrams,https://leetcode.com/problems/group-anagrams,Medium,61.59475951332611,6611,26.130434782608692
148,Sort List,https://leetcode.com/problems/sort-list,Medium,48.3315685939962,4890,25.873015873015877
872,Leaf-Similar Trees,https://leetcode.com/problems/leaf-similar-trees,Easy,64.62096542254632,1368,25.81132075471698
