number,title,url,difficulty,likes,dislikes,accepted,submissions,acceptance,popularity
871,Minimum Number of Refueling Stops,https://leetcode.com/problems/minimum-number-of-refueling-stops,Hard,1880,37,50792,145111,35.00217075204499,50.810810810810814
46,Permutations,https://leetcode.com/problems/permutations,Medium,7239,143,899439,1304736,68.93647450518725,50.62237762237762
174,Dungeon Game,https://leetcode.com/problems/dungeon-game,Hard,2829,56,135482,397315,34.09939216994073,50.517857142857146
1372,Longest ZigZag Path in a Binary Tree,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree,Medium,756,15,24388,43432,56.15214588321975,50.4
1964,Find the Longest Valid Obstacle Course at Each Position,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position,Hard,250,5,6161,14420,42.7253814147018,50.0
1879,Minimum XOR Sum of Two Arrays,https://leetcode.com/problems/minimum-xor-sum-of-two-arrays,Hard,298,6,5571,14554,38.278136594750585,49.666666666666664
213,House Robber II,https://leetcode.com/problems/house-robber-ii,Medium,3389,70,267620,700046,38.228916385494664,48.41428571428571
1458,Max Dot Product of Two Subsequences,https://leetcode.com/problems/max-dot-product-of-two-subsequences,Hard,483,10,14321,32499,44.06597126065417,48.3
1866,Number of Ways to Rearrange Sticks With K Sticks Visible,https://leetcode.com/problems/number-of-ways-to-rearrange-sticks-with-k-sticks-visible,Hard,336,7,5898,10810,54.560592044403336,48.0
1209,Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Medium,1912,40,116274,205296,56.637245732990415,47.8
230,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst,Medium,4578,96,593425,921106,64.4252670159569,47.6875
1970,Last Day Where You Can Still Cross,https://leetcode.com/problems/last-day-where-you-can-still-cross,Hard,286,6,5516,11926,46.251886634244514,47.666666666666664
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal,Medium,5615,118,944357,1613863,58.51531387732416,47.58474576271186
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence,Medium,8646,183,637693,1368149,46.60990871608283,47.24590163934426
1358,Number of Substrings Containing All Three Characters,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters,Medium,943,20,26683,43489,61.355745130952656,47.15
1249,Minimum Remove to Make Valid Parentheses,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,Medium,2598,56,238993,369069,64.75564189894031,46.392857142857146
1278,Palindrome Partitioning III,https://leetcode.com/problems/palindrome-partitioning-iii,Hard,555,12,15076,24642,61.180099017936854,46.25
1325,Delete Leaves With a Given Value,https://leetcode.com/problems/delete-leaves-with-a-given-value,Medium,969,21,49153,66007,74.46634447861591,46.142857142857146
1406,Stone Game III,https://leetcode.com/problems/stone-game-iii,Hard,735,16,26442,44460,59.473684210526315,45.9375
1944,Number of Visible People in a Queue,https://leetcode.com/problems/number-of-visible-people-in-a-queue,Hard,321,7,5464,8809,62.02747190373482,45.857142857142854
1008,Construct Binary Search Tree from Preorder Traversal,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal,Medium,2338,51,177860,225199,78.97903631898899,45.84313725490196
1493,Longest Subarray of 1's After Deleting One Element,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,Medium,549,12,27660,46243,59.81445840451528,45.75
518,Coin Change 2,https://leetcode.com/problems/coin-change-2,Medium,3683,82,218567,403833,54.123115248134745,44.91463414634146
